Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805-Chuk-FA-FB",36.181210,-81.631005,-90.000000,top
"D1","1N4148","SMD_SOD_123_for_assembly",-73.520614,-111.571740,-90.000000,top
"D2","1N4148","SMD_SOD_123_for_assembly",-55.520614,-110.845740,-90.000000,top
"D3","1N4148","SMD_SOD_123_for_assembly",-37.340001,-93.799605,-90.000000,top
"D4","1N4148","SMD_SOD_123_for_assembly",-19.657614,-93.089605,-90.000000,top
"D5","1N4148","SMD_SOD_123_for_assembly",-1.522014,-99.557540,-90.000000,top
"D6","1N4148","SMD_SOD_123_for_assembly",16.486586,-100.740000,-90.000000,top
"D7","1N4148","SMD_SOD_123_for_assembly",-73.505614,-128.589740,-90.000000,top
"D8","1N4148","SMD_SOD_123_for_assembly",-55.547814,-127.464605,-90.000000,top
"D9","1N4148","SMD_SOD_123_for_assembly",-37.440001,-110.779605,-90.000000,top
"D10","1N4148","SMD_SOD_123_for_assembly",-19.620614,-110.395740,-90.000000,top
"D11","1N4148","SMD_SOD_123_for_assembly",-1.560001,-116.409605,-90.000000,top
"D12","1N4148","SMD_SOD_123_for_assembly",16.254999,-118.989605,-90.000000,top
"D13","1N4148","SMD_SOD_123_for_assembly",-73.531014,-145.480740,-90.000000,top
"D14","1N4148","SMD_SOD_123_for_assembly",-55.620614,-144.395740,-90.000000,top
"D15","1N4148","SMD_SOD_123_for_assembly",-37.564614,-127.573740,-90.000000,top
"D16","1N4148","SMD_SOD_123_for_assembly",-19.300001,-127.569605,-90.000000,top
"D17","1N4148","SMD_SOD_123_for_assembly",-1.520001,-133.579605,-90.000000,top
"D18","1N4148","SMD_SOD_123_for_assembly",16.461186,-135.904940,-90.000000,top
"D22","1N4148","SMD_SOD_123_for_assembly",21.920596,-161.140000,-105.000000,top
"D22b1","1N4148","SMD_SOD_123_for_assembly",105.610000,-182.900000,80.200000,top
"D23","1N4148","SMD_SOD_123_for_assembly",40.180000,-168.465000,-113.990000,top
"D23b1","1N4148","SMD_SOD_123_for_assembly",146.033325,-187.411669,-113.990000,top
"D24","1N4148","SMD_SOD_123_for_assembly",50.032517,-173.056893,-39.100000,top
"D24b2","1N4148","SMD_SOD_123_for_assembly",153.605000,-190.240000,-119.100000,top
"D25","1N4148","SMD_SOD_123_for_assembly",-73.280000,-100.190000,-90.000000,top
"D26","1N4148","SMD_SOD_123_for_assembly",-55.630000,-92.180000,-90.000000,top
"D27","1N4148","SMD_SOD_123_for_assembly",-37.070000,-82.450000,-90.000000,top
"D28","1N4148","SMD_SOD_123_for_assembly",-19.170001,-82.739605,-90.000000,top
"D29","1N4148","SMD_SOD_123_for_assembly",-0.720000,-89.290000,-90.000000,top
"D30","1N4148","SMD_SOD_123_for_assembly",16.580000,-89.580000,-90.000000,top
"D31","1N4148","SMD_SOD_123_for_assembly",61.704999,-181.289605,-125.000000,top
"D31b1","1N4148","SMD_SOD_123_for_assembly",158.555000,-193.015000,60.900000,top
"D32","1N4148","SMD_SOD_123_for_assembly",-10.915000,-214.270000,180.000000,top
"D33","1N4148","SMD_SOD_123_only_one_face",-66.620000,-207.665000,0.000000,top
