"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW2,SW3,SW4,SW5,SW8,SW9,SW10,SW11,SW14,SW15,SW16,SW17";"Kailh_socket_PG1350_reversible_Chukozor_LED_F";12;"SW_Chuk";;;
2;"SW6,SW12,SW18";"Kailh_socket_PG1350_reversible_Chukozor_LED_F_contreMCU";3;"SW_Chuk";;;
3;"SW23";"Kailh_socket_PG1350_reversible_Chukozor_THUMBS";1;"Pull";;;
4;"SW24,SW22,SWBIS_22,SWBIS_23,SWBIS_24";"Kailh_socket_PG1350_reversible_Chukozor_THUMBS_ext";5;"Pull";;;
5;"U1";"RP2040-ProMicro-Chuk-with-18thgpio-silkadjust";1;"RP2040-ProMicro-with-18thgpio";;;
6;"J2";"oled_display_Chukozor_ribbon";1;"Conn_01x04";;;
7;"D1,D10,D16,D32,D24,D14,D11,D22,D34,D31b1,D6,D27,D23b1,D3,D18,D22b1,D7,D9,D8,D13,D28,D17,D15,D30,D23,D26,D2,D31,D4,D5,D24b2,D12,D29,D25";"SMD_SOD_123_for_assembly";34;"1N4148";;;
8;"VIK1";"vik-keyboard-connector-horizontal-Both-Sides";1;"~";;;
9;"SW7,SW1,SW13";"Kailh_socket_PG1350_reversible_Chukozor_LED_F_6thcolumn";3;"SW_Chuk";;;
10;"D36";"D_SMA_Handsoldering-Chuk";1;"SS14 (or M1) package SMA";;;
11;"K2,K1,K3,K6,K4,K5";"FPC_8pins_VERTICAL_MOUSER-FFC2A3308TR-OUT-routed";6;"FPC_8pins_687108183722";;;
12;"F1,F2,F3";"FPC_4pins_Horizontal-PULL-OUT";3;"Conn_01x04";;;
13;"Pull2";"Microswitche-2pins";1;"Pull";;;
14;"Flick2,Flick3,Flick1";"Kailh_socket_PG1350_reversible_Chukozor_LED_F-MOBILE";3;"SW_Chuk";;;
15;"SLDR_Pads1";"Azoteq-Procyon-Manual_soldering";1;"Azoteq-Procyon-Manual_soldering";;;
16;"R3";"R_0805_double_face_Chukozor";1;"2.2k";;;
17;"Spot2";"Spot-Solenoid";1;"Solenoid spot";;;
18;"T4";"FPC_10p-reversible-QUE-JOYSTICK-IN(non reversible-vA)";1;"FPC_8pins_SPECIAL-thumbs";;;
19;"SWMouse_bis1,SWMouse1";"Microswitche-2pins";2;"CLIC";;;
20;"T3,T3-bis1";"FPC_10p-reversible-ThumbORJoystick-IN";2;"FPC_8pins_SPECIAL-thumbs";;;
21;"ENC1";"RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm";1;"RotaryEncoder_Switch";;;
22;"KLow-2";"FPC_8pins_687108183722_reversible-Mobile-IN-TOPP-FROMBELOW";1;"FPC_8pins_687108183722";;;
23;"D33";"SMD_SOD_123_only_one_face";1;"1N4148";;;
24;"T2,T1";"FPC_10p-reversible-ThumbORJoystick-OUT";2;"FPC_8pins_SPECIAL-thumbs";;;
25;"SB3";"SB-x2-small";1;"Oled";;;
26;"RSW1";"SW_SMD_4x4mm-reversible(unconnected)";1;"RST";;;
27;"R2,R1";"R_0805_double_face_Chukozor_assembly";2;"4.7k";;;
28;"Handedness1";"R_0805_Handedness_Chukozor_assembly";1;"4.7k";;;
29;"U2";"MJ-4PP-9_Chukozor-3";1;"TRRS_Chuck";;;
30;"FF2,FF1";"FPC_4pins_Horizontal-PULL-IN";2;"Conn_01x04";;;
31;"Pull1";"Kailh_socket_PG1350_reversible_Chukozor_-PULL-simplifiev2";1;"Pull";;;
32;"S1";"Solenoid-PinHeader_1x02_P2.54mm_Vertical-Chuk";1;"~";;;
33;"C1";"C_0805-Chuk-FA-FB";1;"1uF";;;
34;"S2";"QUE-JOYSTICK-UNE-FACE(non reversible-pourvA)";1;"5-ways-switches(joystick)";;;
35;"KHigh-1";"FPC_8pins_687108183722_reversible-Mobile-IN-TOPP-FROMABOVE";1;"FPC_8pins_SPECIALswitches-IN-HIGH-687108183722";;;
36;"R4";"R_0805_double_face_Chukozor-Optional";1;"... kΩ";;;
37;"Q1";"TO-252-2-reversible";1;"TIP120";;;
38;"J1,J3";"solenoid_ribon_connector";2;"Conn_01x03";;;
39;"KLow-1";"FPC_8pins_687108183722_reversible-Mobile-IN-LOW-FROMBELOW";1;"FPC_8pins_687108183722";;;
